Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2002,8,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2005,8,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2008,6,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2010,5,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2011,5,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2012,5,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2013,5,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2015,4,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),13,Central America,2018,3,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2002,60,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2005,54,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2008,50,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2010,49,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2011,47,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2012,47,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2013,47,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2015,46,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),14,Eastern Africa,2018,44,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2002,8,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2005,7,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2008,5,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2010,5,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2011,4,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2012,3,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2013,3,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2015,3,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),15,Northern Africa,2018,4,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2002,67,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2005,64,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2010,59,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2011,58,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2012,56,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2013,54,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),17,Middle Africa,2015,53,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2002,35,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2005,28,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2008,19,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2010,18,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2011,18,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2012,18,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2013,18,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),18,Southern Africa,2015,19,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2002,8,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2005,7,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2008,5,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2010,4,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2011,4,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2012,3,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2013,3,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2015,3,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),19,Americas,2018,3,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2002,1,2002,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2005,1,2005,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2008,1,2008,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2010,1,2010,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2011,1,2011,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2012,1,2012,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2013,1,2013,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2015,1,2015,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),21,Northern America,2018,1,2018,,,,,"World Development Indicators database, World Bank",,,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),24,Angola,2000,32,2000,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),24,Angola,2008,30,2008,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),24,Angola,2018,48,2018,,,,,"World Development Indicators database, World Bank",,Estimated from unit-record consumption data. ,G,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
